gene-CD630_RS00005 - gene-CD630_RS00055,1,10630,10629,+,25.09,11
,,,,,,,gene-CD630_RS00005,34.08,
,,,,,,,gene-CD630_RS00010,28.1,21.9
,,,,,,,gene-CD630_RS00015,37.26,13.33
,,,,,,,gene-CD630_RS00020,21.42,19.17
,,,,,,,gene-CD630_RS00025,25.4,19.0
,,,,,,,gene-CD630_RS00030,40.1,21.35
,,,,,,,gene-CD630_RS00035,31.79,10.26
,,,,,,,gene-CD630_RS00040,16.98,
,,,,,,,gene-CD630_RS00045,25.56,16.83
,,,,,,,gene-CD630_RS00050,23.44,46.5
,,,,,,,gene-CD630_RS00055,24.32,
gene-CD630_RS00080 - gene-CD630_RS00090,16091,19223,3132,+,28.69,3
,,,,,,,gene-CD630_RS00080,15.91,
,,,,,,,gene-CD630_RS00085,12.66,13.42
,,,,,,,gene-CD630_RS00090,36.38,65.1
gene-CD630_RS00095,19544,19999,455,+,109.56,1
,,,,,,,gene-CD630_RS00095,109.56,
gene-CD630_RS00110,20470,22516,2046,+,20.03,1
,,,,,,,gene-CD630_RS00110,20.03,
gene-CD630_RS00115 - gene-CD630_RS00120,22166,23128,962,+,75.66,2
,,,,,,,gene-CD630_RS00115,61.81,
,,,,,,,gene-CD630_RS00120,112.02,53.15
gene-CD630_RS00125,23269,23490,221,+,29.75,1
,,,,,,,gene-CD630_RS00125,29.75,
gene-CD630_RS00130,23561,24766,1205,-,22.64,1
,,,,,,,gene-CD630_RS00130,22.64,
gene-CD630_RS00365 - gene-CD630_RS00375,34145,40468,6323,+,13.87,3
,,,,,,,gene-CD630_RS00365,7.29,
,,,,,,,gene-CD630_RS00370,18.77,5.94
,,,,,,,gene-CD630_RS00375,25.45,11.92
gene-CD630_RS00380 - gene-CD630_RS00395,40921,45361,4440,+,11.95,4
,,,,,,,gene-CD630_RS00380,13.62,
,,,,,,,gene-CD630_RS00385,14.77,7.0
,,,,,,,gene-CD630_RS00390,11.52,3.88
,,,,,,,gene-CD630_RS00395,20.91,
gene-CD630_RS00400,45541,47987,2446,+,17.38,1
,,,,,,,gene-CD630_RS00400,17.38,
gene-CD630_RS00405 - gene-CD630_RS00415,46917,51476,4559,+,37.33,3
,,,,,,,gene-CD630_RS00405,21.79,
,,,,,,,gene-CD630_RS00410,94.84,24.35
,,,,,,,gene-CD630_RS00415,16.0,29.66
gene-CD630_RS00420,51662,52507,845,-,3.14,1
,,,,,,,gene-CD630_RS00420,3.14,
gene-CD630_RS00425,52724,53890,1166,+,NOT EXPRESSED,0.14
gene-CD630_RS00430,53912,55558,1646,+,NOT EXPRESSED,0.16
gene-CD630_RS00435,55655,57028,1373,+,NOT EXPRESSED,0.29
