gene-CD630_RS00005 - gene-CD630_RS00055,1,10630,10629,+,20.83,11
,,,,,,,gene-CD630_RS00005,25.11,
,,,,,,,gene-CD630_RS00010,22.11,22.94
,,,,,,,gene-CD630_RS00015,26.03,14.56
,,,,,,,gene-CD630_RS00020,15.08,36.0
,,,,,,,gene-CD630_RS00025,15.96,17.0
,,,,,,,gene-CD630_RS00030,24.94,9.1
,,,,,,,gene-CD630_RS00035,21.65,25.33
,,,,,,,gene-CD630_RS00040,19.44,
,,,,,,,gene-CD630_RS00045,20.99,21.0
,,,,,,,gene-CD630_RS00050,20.74,17.0
,,,,,,,gene-CD630_RS00055,20.81,
gene-CD630_RS00080 - gene-CD630_RS00090,16091,19223,3132,+,21.63,3
,,,,,,,gene-CD630_RS00080,15.04,
,,,,,,,gene-CD630_RS00085,9.09,16.42
,,,,,,,gene-CD630_RS00090,17.5,50.08
gene-CD630_RS00095,19544,19999,455,+,95.53,1
,,,,,,,gene-CD630_RS00095,95.53,
gene-CD630_RS00110,20470,22516,2046,+,16.06,1
,,,,,,,gene-CD630_RS00110,16.06,
gene-CD630_RS00115 - gene-CD630_RS00120,22166,23128,962,+,67.67,2
,,,,,,,gene-CD630_RS00115,53.77,
,,,,,,,gene-CD630_RS00120,94.48,54.77
gene-CD630_RS00125,23269,23490,221,+,18.75,1
,,,,,,,gene-CD630_RS00125,18.75,
gene-CD630_RS00130,23561,24766,1205,-,18.09,1
,,,,,,,gene-CD630_RS00130,18.09,
gene-CD630_RS00365,34145,34558,413,+,2.4,1
,,,,,,,gene-CD630_RS00365,2.4,
gene-CD630_RS00370 - gene-CD630_RS00375,34867,40468,5601,+,13.58,2
,,,,,,,gene-CD630_RS00370,8.54,
,,,,,,,gene-CD630_RS00375,21.91,10.3
gene-CD630_RS00380 - gene-CD630_RS00395,40921,45361,4440,+,12.97,4
,,,,,,,gene-CD630_RS00380,5.67,
,,,,,,,gene-CD630_RS00385,11.07,8.0
,,,,,,,gene-CD630_RS00390,12.64,24.75
,,,,,,,gene-CD630_RS00395,15.71,
gene-CD630_RS00400,45541,47987,2446,+,10.49,1
,,,,,,,gene-CD630_RS00400,10.49,
gene-CD630_RS00405 - gene-CD630_RS00415,46917,51476,4559,+,26.7,3
,,,,,,,gene-CD630_RS00405,14.95,
,,,,,,,gene-CD630_RS00410,59.89,27.07
,,,,,,,gene-CD630_RS00415,13.68,17.92
gene-CD630_RS00420,51662,52507,845,-,2.81,1
,,,,,,,gene-CD630_RS00420,2.81,
gene-CD630_RS00425,52724,53890,1166,+,NOT EXPRESSED,0.4
gene-CD630_RS00430,53912,55558,1646,+,NOT EXPRESSED,0.38
gene-CD630_RS00435,55655,57028,1373,+,NOT EXPRESSED,0.74
gene-CD630_RS00440,57469,58422,953,+,1.82,1
,,,,,,,gene-CD630_RS00440,1.82,
gene-CD630_RS00445 - gene-CD630_RS00450,58460,60433,1973,+,3.87,2
,,,,,,,gene-CD630_RS00445,1.6,
,,,,,,,gene-CD630_RS00450,3.74,6.28
gene-CD630_RS00455,60446,61492,1046,+,2.24,1
,,,,,,,gene-CD630_RS00455,2.24,
gene-CD630_RS00460,61659,63389,1730,+,3.64,1
,,,,,,,gene-CD630_RS00460,3.64,
gene-CD630_RS00465,63807,66755,2948,+,NOT EXPRESSED,0.14
gene-CD630_RS00470,66733,67197,464,+,NOT EXPRESSED,0.0
gene-CD630_RS00475,67277,67579,302,+,NOT EXPRESSED,0.0
gene-CD630_RS00480,67656,69005,1349,+,NOT EXPRESSED,0.04
gene-CD630_RS00485,69040,69513,473,+,NOT EXPRESSED,0.0
gene-CD630_RS00490,69685,70335,650,+,NOT EXPRESSED,0.22
gene-CD630_RS00495,70509,71441,932,+,3.22,1
,,,,,,,gene-CD630_RS00495,3.22,
gene-CD630_RS00500 - gene-CD630_RS00505,71715,72910,1195,+,7.45,2
,,,,,,,gene-CD630_RS00500,9.71,
,,,,,,,gene-CD630_RS00505,5.19,
gene-CD630_RS00510 - gene-CD630_RS00515,73277,76559,3282,+,396.17,2
,,,,,,,gene-CD630_RS00510,239.66,
,,,,,,,gene-CD630_RS00515,522.79,426.07
gene-CD630_RS00520,76997,78478,1481,+,22.03,1
,,,,,,,gene-CD630_RS00520,22.03,
gene-CD630_RS19625 - gene-CD630_RS00530,78699,80794,2095,+,43.4,3
,,,,,,,gene-CD630_RS19625,8.55,
,,,,,,,gene-CD630_RS00525,42.87,28.11
,,,,,,,gene-CD630_RS00530,70.82,66.67
gene-CD630_RS00535 - gene-CD630_RS00540,80900,82408,1508,+,9.97,2
,,,,,,,gene-CD630_RS00535,12.79,
,,,,,,,gene-CD630_RS00540,12.26,4.85
gene-CD630_RS00545 - gene-CD630_RS00550,82411,83650,1239,+,20.24,2
,,,,,,,gene-CD630_RS00545,16.74,
,,,,,,,gene-CD630_RS00550,28.25,15.72
gene-CD630_RS00555 - gene-CD630_RS00590,83724,88509,4785,+,298.32,8
,,,,,,,gene-CD630_RS00555,404.04,
,,,,,,,gene-CD630_RS00560,245.33,187.36
,,,,,,,gene-CD630_RS00565,196.23,163.23
,,,,,,,gene-CD630_RS00570,188.87,238.95
,,,,,,,gene-CD630_RS00575,217.91,243.82
,,,,,,,gene-CD630_RS00580,211.79,249.83
,,,,,,,gene-CD630_RS00585,367.16,371.63
,,,,,,,gene-CD630_RS00590,637.74,550.91
gene-CD630_RS00595,88901,89689,788,+,5.36,1
,,,,,,,gene-CD630_RS00595,5.36,
gene-CD630_RS00600,90160,100823,10663,+,69.68,1
,,,,,,,gene-CD630_RS00600,69.68,
gene-CD630_RS00605,93918,108181,14263,+,78.61,1
,,,,,,,gene-CD630_RS00605,78.61,
gene-CD630_RS00610 - gene-CD630_RS00785,97692,118321,20629,+,348.28,36
,,,,,,,gene-CD630_RS00610,202.27,
,,,,,,,gene-CD630_RS00615,295.68,202.52
