gene-CD630_RS00005 - gene-CD630_RS00010,1,2668,2667,+,7.83,2
,,,,,,,gene-CD630_RS00005,7.32,
,,,,,,,gene-CD630_RS00010,9.42,6.74
gene-CD630_RS00015 - gene-CD630_RS00055,2805,10630,7825,+,9.31,9
,,,,,,,gene-CD630_RS00015,11.17,
,,,,,,,gene-CD630_RS00020,7.54,11.28
,,,,,,,gene-CD630_RS00025,8.05,10.0
,,,,,,,gene-CD630_RS00030,11.85,3.7
,,,,,,,gene-CD630_RS00035,8.58,9.88
,,,,,,,gene-CD630_RS00040,5.55,
,,,,,,,gene-CD630_RS00045,10.95,15.0
,,,,,,,gene-CD630_RS00050,9.74,5.0
,,,,,,,gene-CD630_RS00055,11.37,
gene-CD630_RS00080,16091,16600,509,+,8.0,1
,,,,,,,gene-CD630_RS00080,8.0,
gene-CD630_RS00085 - gene-CD630_RS00090,16612,19223,2611,+,13.74,2
,,,,,,,gene-CD630_RS00085,6.41,
,,,,,,,gene-CD630_RS00090,11.09,23.72
gene-CD630_RS00095,19544,19999,455,+,44.41,1
,,,,,,,gene-CD630_RS00095,44.41,
gene-CD630_RS00110,20470,22516,2046,+,5.87,1
,,,,,,,gene-CD630_RS00110,5.87,
gene-CD630_RS00115 - gene-CD630_RS00120,22166,23128,962,+,33.96,2
,,,,,,,gene-CD630_RS00115,29.79,
,,,,,,,gene-CD630_RS00120,50.1,22.0
gene-CD630_RS00125,23269,23490,221,+,17.7,1
,,,,,,,gene-CD630_RS00125,17.7,
gene-CD630_RS00130,23561,24766,1205,-,10.79,1
,,,,,,,gene-CD630_RS00130,10.79,
gene-CD630_RS00365,34145,34558,413,+,3.03,1
,,,,,,,gene-CD630_RS00365,3.03,
gene-CD630_RS00370 - gene-CD630_RS00375,34867,40468,5601,+,11.55,2
,,,,,,,gene-CD630_RS00370,10.35,
,,,,,,,gene-CD630_RS00375,17.64,6.66
gene-CD630_RS00380 - gene-CD630_RS00385,40921,41886,965,+,6.31,2
,,,,,,,gene-CD630_RS00380,6.87,
,,,,,,,gene-CD630_RS00385,8.05,4.0
gene-CD630_RS00390 - gene-CD630_RS00405,41902,47987,6085,+,7.27,4
,,,,,,,gene-CD630_RS00390,8.07,
,,,,,,,gene-CD630_RS00395,11.92,
,,,,,,,gene-CD630_RS00400,7.3,3.54
,,,,,,,gene-CD630_RS00405,6.82,6.0
gene-CD630_RS00410 - gene-CD630_RS00415,48076,51476,3400,+,21.63,2
,,,,,,,gene-CD630_RS00410,51.71,
,,,,,,,gene-CD630_RS00415,5.6,7.57
gene-CD630_RS00420,51662,52507,845,-,1.85,1
,,,,,,,gene-CD630_RS00420,1.85,
gene-CD630_RS00425,52724,53890,1166,+,NOT EXPRESSED,0.04
gene-CD630_RS00430,53912,55558,1646,+,NOT EXPRESSED,0.06
gene-CD630_RS00435,55655,57028,1373,+,NOT EXPRESSED,0.0
gene-CD630_RS00440,57469,58422,953,+,NOT EXPRESSED,0.45
gene-CD630_RS00445,58460,59422,962,+,NOT EXPRESSED,0.44
gene-CD630_RS00450,59447,60433,986,+,1.03,1
,,,,,,,gene-CD630_RS00450,1.03,
gene-CD630_RS00455,60446,61492,1046,+,1.27,1
,,,,,,,gene-CD630_RS00455,1.27,
gene-CD630_RS00460,61659,63389,1730,+,1.17,1
,,,,,,,gene-CD630_RS00460,1.17,
gene-CD630_RS00465,63807,66755,2948,+,NOT EXPRESSED,0.33
gene-CD630_RS00470,66733,67197,464,+,NOT EXPRESSED,0.0
gene-CD630_RS00475,67277,67579,302,+,NOT EXPRESSED,0.81
gene-CD630_RS00480,67656,69005,1349,+,NOT EXPRESSED,0.03
gene-CD630_RS00485,69040,69513,473,+,NOT EXPRESSED,0.0
gene-CD630_RS00490,69685,70335,650,+,NOT EXPRESSED,0.0
gene-CD630_RS00495,70509,71441,932,+,1.61,1
,,,,,,,gene-CD630_RS00495,1.61,
gene-CD630_RS00500 - gene-CD630_RS00505,71715,72910,1195,+,3.12,2
,,,,,,,gene-CD630_RS00500,3.52,
,,,,,,,gene-CD630_RS00505,2.73,
gene-CD630_RS00510 - gene-CD630_RS00515,73277,76559,3282,+,52.49,2
,,,,,,,gene-CD630_RS00510,35.06,
,,,,,,,gene-CD630_RS00515,80.53,41.89
gene-CD630_RS00520,76997,78478,1481,+,9.33,1
,,,,,,,gene-CD630_RS00520,9.33,
gene-CD630_RS19625 - gene-CD630_RS00530,78699,80794,2095,+,39.34,3
,,,,,,,gene-CD630_RS19625,31.41,
,,,,,,,gene-CD630_RS00525,32.84,14.4
,,,,,,,gene-CD630_RS00530,59.7,58.33
gene-CD630_RS00535,80900,83650,2750,+,8.33,1
,,,,,,,gene-CD630_RS00535,8.33,
