gene-CD630_RS00005 - gene-CD630_RS00055,1,10630,10629,+,13.49,11
,,,,,,,gene-CD630_RS00005,14.34,
,,,,,,,gene-CD630_RS00010,14.1,9.03
,,,,,,,gene-CD630_RS00015,15.04,10.78
,,,,,,,gene-CD630_RS00020,9.97,7.61
,,,,,,,gene-CD630_RS00025,10.24,8.0
,,,,,,,gene-CD630_RS00030,16.08,10.25
,,,,,,,gene-CD630_RS00035,19.43,16.39
,,,,,,,gene-CD630_RS00040,9.71,
,,,,,,,gene-CD630_RS00045,11.31,17.58
,,,,,,,gene-CD630_RS00050,14.3,28.0
,,,,,,,gene-CD630_RS00055,14.06,
gene-CD630_RS00080 - gene-CD630_RS00090,16091,19223,3132,+,11.69,3
,,,,,,,gene-CD630_RS00080,6.91,
,,,,,,,gene-CD630_RS00085,5.87,3.0
,,,,,,,gene-CD630_RS00090,13.47,29.18
gene-CD630_RS00095,19544,19999,455,+,47.67,1
,,,,,,,gene-CD630_RS00095,47.67,
gene-CD630_RS00110 - gene-CD630_RS00115,20470,22516,2046,+,31.36,2
,,,,,,,gene-CD630_RS00110,8.29,
,,,,,,,gene-CD630_RS00115,30.95,54.83
gene-CD630_RS00120,22529,23128,599,+,50.86,1
,,,,,,,gene-CD630_RS00120,50.86,
gene-CD630_RS00125,23269,23490,221,+,15.59,1
,,,,,,,gene-CD630_RS00125,15.59,
gene-CD630_RS00130,23561,24766,1205,-,9.64,1
,,,,,,,gene-CD630_RS00130,9.64,
gene-CD630_RS00365,34145,34558,413,+,2.73,1
,,,,,,,gene-CD630_RS00365,2.73,
gene-CD630_RS00370 - gene-CD630_RS00375,34867,40468,5601,+,9.02,2
,,,,,,,gene-CD630_RS00370,5.12,
,,,,,,,gene-CD630_RS00375,13.52,8.41
gene-CD630_RS00380,40921,41385,464,+,4.47,1
,,,,,,,gene-CD630_RS00380,4.47,
gene-CD630_RS00385 - gene-CD630_RS00395,41392,45361,3969,+,6.92,3
,,,,,,,gene-CD630_RS00385,7.36,
,,,,,,,gene-CD630_RS00390,7.11,2.94
,,,,,,,gene-CD630_RS00395,10.26,
gene-CD630_RS00400 - gene-CD630_RS00415,45541,51476,5935,+,14.48,3
,,,,,,,gene-CD630_RS00400,9.26,
,,,,,,,gene-CD630_RS00410,35.59,11.43
,,,,,,,gene-CD630_RS00415,7.31,8.81
gene-CD630_RS00420,51662,52507,845,-,NOT EXPRESSED,0.86
gene-CD630_RS00425,52724,53890,1166,+,NOT EXPRESSED,0.08
gene-CD630_RS00430,53912,55558,1646,+,NOT EXPRESSED,0.12
gene-CD630_RS00435,55655,57028,1373,+,NOT EXPRESSED,0.02
gene-CD630_RS00440 - gene-CD630_RS00450,57469,60433,2964,+,2.42,3
,,,,,,,gene-CD630_RS00440,1.03,
,,,,,,,gene-CD630_RS00445,1.18,2.24
,,,,,,,gene-CD630_RS00450,1.0,6.64
gene-CD630_RS00455,60446,61492,1046,+,1.42,1
,,,,,,,gene-CD630_RS00455,1.42,
gene-CD630_RS00460,61659,63389,1730,+,1.94,1
,,,,,,,gene-CD630_RS00460,1.94,
gene-CD630_RS00465,63807,66755,2948,+,NOT EXPRESSED,0.27
gene-CD630_RS00470,66733,67197,464,+,NOT EXPRESSED,0.3
gene-CD630_RS00475,67277,67579,302,+,NOT EXPRESSED,0.64
gene-CD630_RS00480,67656,69005,1349,+,NOT EXPRESSED,0.0
gene-CD630_RS00485,69040,69513,473,+,NOT EXPRESSED,0.0
gene-CD630_RS00490,69685,70335,650,+,NOT EXPRESSED,0.0
gene-CD630_RS00495,70509,71441,932,+,3.31,1
,,,,,,,gene-CD630_RS00495,3.31,
gene-CD630_RS00500 - gene-CD630_RS00505,71715,72910,1195,+,3.87,2
,,,,,,,gene-CD630_RS00500,4.17,
,,,,,,,gene-CD630_RS00505,3.56,
gene-CD630_RS00510 - gene-CD630_RS00515,73277,76559,3282,+,130.32,2
,,,,,,,gene-CD630_RS00510,87.21,
,,,,,,,gene-CD630_RS00515,197.3,106.44
gene-CD630_RS00520,76997,78478,1481,+,12.86,1
,,,,,,,gene-CD630_RS00520,12.86,
gene-CD630_RS19625,78699,78854,155,+,NOT EXPRESSED,0.0
gene-CD630_RS00525 - gene-CD630_RS00535,78999,81658,2659,+,22.67,3
,,,,,,,gene-CD630_RS00525,23.21,
,,,,,,,gene-CD630_RS00530,33.8,36.0
,,,,,,,gene-CD630_RS00535,8.16,12.18
gene-CD630_RS00540 - gene-CD630_RS00550,81671,83650,1979,+,13.07,3
,,,,,,,gene-CD630_RS00540,9.72,
,,,,,,,gene-CD630_RS00545,12.18,14.0
,,,,,,,gene-CD630_RS00550,17.3,12.15
gene-CD630_RS00555 - gene-CD630_RS00590,83724,88509,4785,+,194.89,8
,,,,,,,gene-CD630_RS00555,254.25,
,,,,,,,gene-CD630_RS00560,177.87,78.16
,,,,,,,gene-CD630_RS00565,113.57,164.23
,,,,,,,gene-CD630_RS00570,117.24,117.5
,,,,,,,gene-CD630_RS00575,148.58,202.64
,,,,,,,gene-CD630_RS00580,119.56,219.63
,,,,,,,gene-CD630_RS00585,273.42,190.77
,,,,,,,gene-CD630_RS00590,451.79,294.07
gene-CD630_RS00595,88901,89689,788,+,3.73,1
,,,,,,,gene-CD630_RS00595,3.73,
gene-CD630_RS00600,90160,100823,10663,+,47.62,1
,,,,,,,gene-CD630_RS00600,47.62,
gene-CD630_RS00605,93918,105999,12081,+,51.2,1
,,,,,,,gene-CD630_RS00605,51.2,
gene-CD630_RS00610 - gene-CD630_RS00785,97692,118321,20629,+,228.25,36
,,,,,,,gene-CD630_RS00610,138.53,
,,,,,,,gene-CD630_RS00615,178.07,125.2
,,,,,,,gene-CD630_RS00620,164.9,148.22
,,,,,,,gene-CD630_RS00625,270.35,329.0
,,,,,,,gene-CD630_RS00630,222.8,499.3
,,,,,,,gene-CD630_RS00635,231.26,150.17
,,,,,,,gene-CD630_RS00640,199.22,206.03
,,,,,,,gene-CD630_RS00645,276.34,
,,,,,,,gene-CD630_RS00650,222.14,372.77
,,,,,,,gene-CD630_RS00655,227.68,145.51
,,,,,,,gene-CD630_RS00660,232.31,308.66
,,,,,,,gene-CD630_RS00665,299.78,321.78
,,,,,,,gene-CD630_RS00670,233.97,221.36
,,,,,,,gene-CD630_RS00675,227.33,289.5
,,,,,,,gene-CD630_RS00680,263.02,262.42
,,,,,,,gene-CD630_RS00685,211.56,119.85
,,,,,,,gene-CD630_RS00690,297.38,246.0
,,,,,,,gene-CD630_RS00695,177.93,255.7
,,,,,,,gene-CD630_RS00700,132.31,85.11
,,,,,,,gene-CD630_RS00705,227.8,229.45
,,,,,,,gene-CD630_RS00710,247.57,261.23
,,,,,,,gene-CD630_RS00715,247.87,290.61
,,,,,,,gene-CD630_RS00720,217.83,187.62
,,,,,,,gene-CD630_RS00725,233.59,417.2
,,,,,,,gene-CD630_RS00730,241.3,154.61
,,,,,,,gene-CD630_RS00735,192.79,129.39
,,,,,,,gene-CD630_RS00740,194.38,136.29
,,,,,,,gene-CD630_RS00745,195.04,320.0
,,,,,,,gene-CD630_RS00750,159.56,277.82
,,,,,,,gene-CD630_RS00755,210.49,98.42
,,,,,,,gene-CD630_RS00760,201.66,274.78
,,,,,,,gene-CD630_RS00765,262.13,148.69
,,,,,,,gene-CD630_RS00770,212.15,369.81
,,,,,,,gene-CD630_RS00775,180.31,274.53
,,,,,,,gene-CD630_RS00780,184.32,80.6
,,,,,,,gene-CD630_RS00785,250.1,373.9
gene-CD630_RS00790 - gene-CD630_RS00800,118441,120925,2484,+,7.96,3
,,,,,,,gene-CD630_RS00790,8.22,
,,,,,,,gene-CD630_RS00795,8.91,
,,,,,,,gene-CD630_RS00800,6.75,
gene-CD630_RS00805,120957,121688,731,+,7.35,1
,,,,,,,gene-CD630_RS00805,7.35,
gene-CD630_RS00810 - gene-CD630_RS00815,121808,122660,852,+,191.46,2
,,,,,,,gene-CD630_RS00810,181.45,
,,,,,,,gene-CD630_RS00815,254.38,138.55
gene-CD630_RS00820,123166,123870,704,+,NOT EXPRESSED,0.41
gene-CD630_RS00955,136463,137647,1184,-,13.15,1
,,,,,,,gene-CD630_RS00955,13.15,
gene-CD630_RS00960 - gene-CD630_RS00965,138020,140932,2912,+,9.99,2
,,,,,,,gene-CD630_RS00960,6.02,
,,,,,,,gene-CD630_RS00965,12.12,11.82
gene-CD630_RS01065 - gene-CD630_RS01070,153933,155950,2017,+,5.97,2
,,,,,,,gene-CD630_RS01065,4.51,
,,,,,,,gene-CD630_RS01070,7.43,
gene-CD630_RS01075 - gene-CD630_RS01105,156254,161600,5346,+,185.56,7
,,,,,,,gene-CD630_RS01075,72.56,
,,,,,,,gene-CD630_RS01080,88.47,78.64
,,,,,,,gene-CD630_RS01085,221.2,
,,,,,,,gene-CD630_RS01090,164.71,239.47
,,,,,,,gene-CD630_RS01095,189.81,119.97
,,,,,,,gene-CD630_RS01100,198.48,
,,,,,,,gene-CD630_RS01105,512.89,155.0
gene-CD630_RS01110 - gene-CD630_RS01115,161770,165215,3445,+,33.74,2
,,,,,,,gene-CD630_RS01110,31.26,
,,,,,,,gene-CD630_RS01115,32.17,37.8
gene-CD630_RS01120,165666,166961,1295,+,3.2,1
,,,,,,,gene-CD630_RS01120,3.2,
gene-CD630_RS01125 - gene-CD630_RS01140,167424,171320,3896,+,13.21,4
,,,,,,,gene-CD630_RS01125,10.49,
,,,,,,,gene-CD630_RS01130,18.75,14.95
,,,,,,,gene-CD630_RS01135,11.06,19.4
,,,,,,,gene-CD630_RS01140,9.18,8.65
gene-CD630_RS01145,171418,171678,260,+,NOT EXPRESSED,0.55
gene-CD630_RS01150 - gene-CD630_RS01155,171875,173338,1463,+,17.04,2
,,,,,,,gene-CD630_RS01150,15.28,
,,,,,,,gene-CD630_RS01155,27.72,8.12
gene-CD630_RS01160,173449,173958,509,-,NOT EXPRESSED,0.4
gene-CD630_RS01165,174387,175580,1193,+,20.33,1
,,,,,,,gene-CD630_RS01165,20.33,
gene-CD630_RS01170,175896,176993,1097,+,NOT EXPRESSED,0.3
gene-CD630_RS01175 - gene-CD630_RS01180,177257,180261,3004,+,3.1,2
,,,,,,,gene-CD630_RS01175,1.7,
,,,,,,,gene-CD630_RS01180,2.9,4.71
gene-CD630_RS01185,180593,182506,1913,+,1.54,1
,,,,,,,gene-CD630_RS01185,1.54,
gene-CD630_RS01190,182647,182955,308,+,NOT EXPRESSED,0.0
gene-CD630_RS01195,182979,183305,326,+,NOT EXPRESSED,0.0
gene-CD630_RS01200,183344,184678,1334,+,NOT EXPRESSED,0.52
gene-CD630_RS01205,184689,185207,518,+,NOT EXPRESSED,0.74
gene-CD630_RS01210,185303,186262,959,+,NOT EXPRESSED,0.93
gene-CD630_RS01215,186311,187363,1052,+,NOT EXPRESSED,0.96
gene-CD630_RS01220,187366,188040,674,+,NOT EXPRESSED,0.36
gene-CD630_RS01225,188593,189144,551,+,86.34,1
,,,,,,,gene-CD630_RS01225,86.34,
gene-CD630_RS01230 - gene-CD630_RS01240,189276,195358,6082,+,7.27,4
,,,,,,,gene-CD630_RS01230,12.35,
,,,,,,,gene-CD630_RS01235,7.35,3.73
,,,,,,,gene-CD630_RS01235,12.65,8.0
,,,,,,,gene-CD630_RS01240,4.29,2.49
gene-CD630_RS01245,195506,196672,1166,+,2.52,1
,,,,,,,gene-CD630_RS01245,2.52,
gene-CD630_RS01250,196974,197579,605,+,20.58,1
